Time,Open,High,Low,Close,Volume
2023-1-2,125,125,118,119,89541
2023-1-3,120,121.2,115.5,119.7,102627
2023-1-4,122.9,122.9,119.1,121.3,166274
2023-1-5,123,133.4,120.3,133.4,1159144
2023-1-8,139.7,139.7,131,134.8,750067
2023-1-9,134.9,135,126.5,128.2,684404
2023-1-10,126.2,131.7,126.2,130.9,1295278
2023-1-11,130.7,142.9,130,140.7,601608
2023-1-12,140,148.1,137.1,147.4,953980
2023-1-15,150.3,154,144.5,148.5,881438
2023-1-16,148,148.9,141.7,142.9,489575
2023-1-17,142.5,151,142.5,150.3,615483
2023-1-18,153.9,157.6,150,151.3,540680
2023-1-19,150.5,152.9,146.7,150.6,355719
2023-1-22,152.9,154,146.9,152.3,612926
2023-1-23,152.3,159,152.3,158.4,743700
2023-1-24,161,161,157,159.9,437307
2023-1-25,165,165,157,158.2,475507
2023-1-26,158,169.1,158,166.5,703572
2023-1-29,166.7,166.8,161,162.4,326053
2023-1-30,167,167,159.3,163.3,609670
